,label,SMS Message,Website,W-count,F-WordCount,Spamword,F-word
31,0,"['yeah', 'got', '2', 'v', 'apologet', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'wo', ""n't"", 'go', 'bad', 'cheer']",0,20,2,1,got
32,0,"['k', 'tell', 'anyth']",0,3,1,0,k
33,0,"['fear', 'faint', 'housework', 'quick', 'cuppa']",0,5,1,0,fear
34,1,"['thank', 'subscript', 'rington', 'uk', 'mobil', 'charg', '£5/month', 'pleas', 'confirm', 'repli', 'yes', 'repli', 'charg']",0,13,2,0,charg
35,0,"['yup', 'ok', 'go', 'home', 'look', 'time', 'msg', 'ü', 'xuhui', 'go', 'learn', '2nd', 'may', 'lesson', '8am']",0,15,2,0,go
36,0,"['oop', 'll', 'let', 'know', 'roommat', ""'s"", 'done']",0,7,1,0,oop
37,0,"['see', 'letter', 'b', 'car']",0,4,1,0,see
38,0,"['anyth', 'lor', 'u', 'decid']",0,4,1,0,anyth
39,0,"['hello', ""'s"", 'saturday', 'go', 'text', 'see', ""'d"", 'decid', 'anyth', 'tomo', ""'m"", 'tri', 'invit', 'anyth']",0,14,2,0,anyth
40,0,"['pls', 'go', 'ahead', 'watt', 'want', 'sure', 'great', 'weekend', 'abiola']",0,9,1,0,pls
41,0,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummi']",0,11,1,0,forget
42,1,"['07732584351', 'rodger', 'burn', 'msg', '=', 'tri', 'call', 'repli', 'sms', 'free', 'nokia', 'mobil', '+', 'free', 'camcord', 'pleas', 'call', '08000930705', 'deliveri', 'tomorrow']",0,20,2,1,call
43,0,['see'],0,1,1,0,see
44,0,"['great', 'hope', 'like', 'man', 'well', 'endow', 'lt', '#', 'gt', 'inch']",0,10,1,0,great
45,0,"['callsmessagesmiss', 'call']",0,2,1,1,callsmessagesmiss
46,0,"[""n't"", 'get', 'hep', 'b', 'immunis', 'nigeria']",0,6,1,0,n't
47,0,"['fair', 'enough', 'anyth', 'go']",0,4,1,0,fair
48,0,"['yeah', 'hope', 'tyler', 'ca', ""n't"", 'could', 'mayb', 'ask', 'around', 'bit']",0,10,1,0,yeah
49,0,"['u', ""n't"", 'know', 'stubborn', ""n't"", 'even', 'want', 'go', 'hospit', 'kept', 'tell', 'mark', ""'m"", 'weak', 'sucker', 'hospit', 'weak', 'sucker']",0,18,2,0,n't
50,0,"['think', 'first', 'time', 'saw', 'class']",0,5,1,0,think
51,0,"['gram', 'usual', 'run', 'like', 'lt', '#', 'gt', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', 'lt', '#', 'gt']",0,19,2,0,gram
52,0,"['k', 'fyi', 'x', 'ride', 'earli', 'tomorrow', 'morn', ""'s"", 'crash', 'place', 'tonight']",0,11,1,0,k
53,0,"['wow', 'never', 'realiz', 'embarass', 'accomod', 'thought', 'like', 'sinc', 'best', 'could', 'alway', 'seem', 'happi', 'cave', ""'m"", 'sorri', ""n't"", ""n't"", 'give', ""'m"", 'sorri', 'offer', ""'m"", 'sorri', 'room', 'embarass']",0,26,3,0,'m
54,1,"['sms', 'ac', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'repli', 'end', 'sptv']",0,18,2,0,sptv
55,0,"['know', 'mallika', 'sherawat', 'yesterday', 'find', '@', 'lturlgt']",0,7,1,0,know
56,1,"['congrat', '1', 'year', 'special', 'cinema', 'pass', '2', 'call', '09061209465', 'c', 'suprman', 'v', 'matrix3', 'starwars3', 'etc', '4', 'free', 'bx420ip45w', '150pm', 'dont', 'miss']",0,21,1,1,congrat
57,0,"['sorri', 'll', 'call', 'later', 'meet']",0,5,1,1,sorri
58,0,"['tell', 'reach']",0,2,1,0,tell
59,0,"['yesgauti', 'sehwag', 'odi', 'seri']",0,4,1,0,yesgauti
60,0,"['gon', 'na', 'pick', '$', '1', 'burger', 'way', 'home', 'ca', ""n't"", 'even', 'move', 'pain', 'kill']",0,14,1,0,gon
61,0,"['ha', 'ha', 'ha', 'good', 'joke', 'girl', 'situat', 'seeker']",0,8,3,0,ha
62,0,"['part', 'check', 'iq']",0,3,1,0,part
63,0,"['sorri', 'roommat', 'took', 'forev', 'ok', 'come']",0,6,1,0,sorri
64,0,"['ok', 'lar', 'doubl', 'check', 'wif', 'da', 'hair', 'dresser', 'alreadi', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']",0,18,2,0,said
65,1,"['valu', 'custom', 'pleas', 'advis', 'follow', 'recent', 'review', 'mob', 'award', '£1500', 'bonus', 'prize', 'call', '09066364589']",0,14,1,1,valu
66,0,"['today', 'song', 'dedic', 'day', 'song', 'u', 'dedic', 'send', 'ur', 'valuabl', 'frnds', 'first', 'rpli']",0,13,2,0,song
67,1,"['urgent', 'ur', 'award', 'complimentari', 'trip', 'eurodisinc', 'trav', 'acoentry41', '£1000', 'claim', 'txt', 'dis', '87121', '18+6*£150morefrmmob', 'shracomorsglsuplt10', 'ls1', '3aj']",0,17,1,1,urgent
68,1,"['hear', 'new', 'divorc', 'barbi', 'come', 'ken', ""'s"", 'stuff']",0,8,1,0,hear
69,0,"['plane', 'give', 'month', 'end']",0,4,1,0,plane
70,0,"['wah', 'lucki', 'man', 'save', 'money', 'hee']",0,6,1,0,wah
71,0,"['finish', 'class']",0,2,1,0,finish
72,0,"['hi', 'babe', 'im', 'home', 'wan', 'na', 'someth', 'xx']",0,8,1,0,hi
73,0,"['kkwhere', 'youhow', 'perform']",0,3,1,0,kkwhere
74,0,"['u', 'call']",0,2,1,1,u
75,0,"['wait', 'machan', 'call', 'free']",0,4,1,1,wait
76,0,"['that', 'cool', 'gentleman', 'treat', 'digniti', 'respect']",0,6,1,0,that
77,0,"['like', 'peopl', 'much', 'shi', 'pa']",0,5,1,0,like
78,0,"['oper', 'lt', '#', 'gt']",0,4,1,0,oper
79,0,"['still', 'look', 'job', 'much', 'ta', ""'s"", 'earn']",0,7,1,0,still
80,0,"['sorri', 'll', 'call', 'later']",0,4,1,1,sorri
81,0,"['k', 'call', 'ah']",0,3,1,1,k
82,0,"['ok', 'way', 'home', 'hi', 'hi']",0,5,2,0,hi
83,0,"['place', 'man']",0,2,1,0,place
84,0,"['yup', 'next', 'stop']",0,3,1,0,yup
85,0,"['call', 'later', ""n't"", 'network', 'urgnt', 'sms']",0,6,1,1,call
86,0,"['real', 'u', 'get', 'yo', 'need', '2', 'ticket', 'one', 'jacket', ""'m"", 'done', 'alreadi', 'use', 'multi']",0,14,1,1,real
87,0,"['yes', 'start', 'send', 'request', 'make', 'pain', 'came', 'back', ""'m"", 'back', 'bed', 'doubl', 'coin', 'factori', 'got', 'ta', 'cash', 'nitro']",0,18,2,0,back
88,0,"[""'m"", 'realli', 'still', 'tonight', 'babe']",0,5,1,0,'m
89,0,"['ela', 'kanoil', 'download', 'come', 'wen', 'ur', 'free']",0,7,1,1,ela
90,0,"['yeah', '‘', 'stand', 'close', 'tho', '‘', 'catch', 'someth']",0,8,2,0,‘
91,0,"['sorri', 'pain', 'ok', 'meet', 'anoth', 'night', 'spent', 'late', 'afternoon', 'casualti', 'mean', ""n't"", 'done', 'stuff42moro', 'includ', 'time', 'sheet', 'sorri']",0,18,2,0,sorri
92,0,"['smile', 'pleasur', 'smile', 'pain', 'smile', 'troubl', 'pour', 'like', 'rain', 'smile', 'sum1', 'hurt', 'u', 'smile', 'becoz', 'someon', 'still', 'love', 'see', 'u', 'smile']",0,21,6,0,smile
93,1,"['pleas', 'call', 'custom', 'servic', 'repres', '0800', '169', '6031', '10am9pm', 'guarante', '£1000', 'cash', '£5000', 'prize']",0,14,1,1,pleas
94,0,"['havent', 'plan', 'buy', 'later', 'check', 'alreadi', 'lido', 'got', '530', 'show', 'e', 'afternoon', 'u', 'finish', 'work', 'alreadi']",0,16,2,0,alreadi
95,1,"['free', 'rington', 'wait', 'collect', 'simpli', 'text', 'password', 'mix', '85069', 'verifi', 'get', 'usher', 'britney', 'fml', 'po', 'box', '5249', 'mk17', '92h', '450ppw', '16']",0,21,1,1,free
96,0,"['watch', 'telugu', 'moviewat', 'abt', 'u']",0,5,1,0,watch
97,0,"['see', 'finish', 'load', 'loan', 'pay']",0,5,1,0,see
98,0,"['hi', 'wk', 'ok', 'hol', 'yes', 'bit', 'run', 'forgot', 'hairdress', 'appoint', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'caus', 'prob', 'u']",0,20,1,0,hi
99,0,"['see', 'cup', 'coffe', 'anim']",0,4,1,0,see
100,0,"['pleas', ""n't"", 'text', 'anymor', 'noth', 'els', 'say']",0,7,1,0,pleas
101,0,"['okay', 'name', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'u', 'ave', 'x', 'am', 'xx']",0,13,1,0,okay
102,0,"[""'m"", 'still', 'look', 'car', 'buy', 'gone', '4the', 'drive', 'test', 'yet']",0,10,1,0,'m
103,0,"['per', 'request', 'mell', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', ""'"", 'set', 'callertun', 'caller', 'press', '*9', 'copi', 'friend', 'callertun']",0,17,2,0,mell
104,0,"['wow', 're', 'right', ""n't"", 'mean', 'guess', 'gave', 'boston', 'men', 'chang', 'search', 'locat', 'nyc', 'someth', 'chang', 'cuz', 'signin', 'page', 'still', 'say', 'boston']",0,21,2,0,boston
105,0,"['umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']",0,7,2,0,umma
106,0,"['thank', 'lot', 'wish', 'birthday', 'thank', 'make', 'birthday', 'truli', 'memor']",0,9,2,0,thank
107,0,"['aight', 'll', 'hit', 'get', 'cash']",0,5,1,0,aight
108,0,"['would', 'ip', 'address', 'test', 'consid', 'comput', ""n't"", 'minecraft', 'server']",0,9,1,0,would
109,0,"['know', 'grumpi', 'old', 'peopl', 'mom', 'like', 'better', 'lie', 'alway', 'one', 'play', 'joke']",0,12,1,0,know
110,0,"['dont', 'worri', 'guess', ""'s"", 'busi']",0,5,1,0,dont
111,0,"['plural', 'noun', 'research']",0,3,1,0,plural
112,0,"['go', 'dinnermsg']",0,2,1,0,go
113,0,"[""'m"", 'ok', 'wif', 'cos', 'like', '2', 'tri', 'new', 'thing', 'scare', 'u', 'dun', 'like', 'mah', 'cos', 'u', 'said', 'loud']",0,18,2,1,cos
114,1,"['gent', 'tri', 'contact', 'last', 'weekend', 'draw', 'show', '£1000', 'prize', 'guarante', 'call', '09064012160', 'claim', 'code', 'k52', 'valid', '12hrs', '150ppm']",0,18,1,1,gent
115,0,"['wa', 'ur', 'openin', 'sentenc', 'formal', 'anyway', ""'m"", 'fine', 'juz', 'tt', ""'m"", 'eatin', 'much', 'n', 'puttin', 'weighthaha', 'anythin', 'special', 'happen']",0,19,2,0,'m
116,0,"['enter', 'cabin', 'pa', 'said', '``', 'happi', ""b'day"", 'boss', '``', 'felt', 'special', 'askd', '4', 'lunch', 'lunch', 'invit', 'apart', 'went']",0,18,2,0,``
117,1,"['winner', 'u', 'special', 'select', '2', 'receiv', '£1000', '4*', 'holiday', 'flight', 'inc', 'speak', 'live', 'oper', '2', 'claim', '0871277810910p/min', '18+']",0,18,2,1,2
118,0,"['goodo', 'yes', 'must', 'speak', 'friday', 'eggpotato', 'ratio', 'tortilla', 'need']",0,9,1,0,goodo
119,0,"['hmmmi', 'uncl', 'inform', ""'s"", 'pay', 'school', 'direct', 'pls', 'buy', 'food']",0,10,1,0,hmmmi
120,1,"['privat', '2004', 'account', 'statement', '07742676969', 'show', '786', 'unredeem', 'bonus', 'point', 'claim', 'call', '08719180248', 'identifi', 'code', '45239', 'expir']",0,17,1,1,privat
121,1,"['urgent', 'mobil', 'award', '£2000', 'bonus', 'caller', 'prize', '5/9/03', 'final', 'tri', 'contact', 'u', 'call', 'landlin', '09064019788', 'box42wr29c', '150ppm']",0,17,1,1,urgent
122,0,"['new', 'address', 'applespairsal', 'malarki']",0,4,1,0,new
123,1,"['today', 'voda', 'number', 'end', '7548', 'select', 'receiv', '$', '350', 'award', 'match', 'pleas', 'call', '08712300220', 'quot', 'claim', 'code', '4041', 'standard', 'rate', 'app']",0,21,1,1,today
124,0,"['go', 'sao', 'mu', 'today', 'done', '12']",0,6,1,0,go
125,0,"['ü', 'predict', 'wat', 'time', 'ü', 'll', 'finish', 'buy']",0,8,2,0,ü
126,0,"['good', 'stuff']",0,2,1,0,good
127,0,"['knowyetund', ""n't"", 'sent', 'money', 'yet', 'sent', 'text', 'bother', 'send', 'dont', 'involv', 'anyth', ""n't"", 'impos', 'anyth', 'first', 'place', 'apologis']",0,18,2,0,n't
128,0,['room'],0,1,1,0,room
129,0,"['hey', 'girl', 'r', 'u', 'hope', 'u', 'r', 'well', 'del', 'r', 'bak', 'long', 'time', 'c', 'give', 'call', 'sum', 'time', 'lucyxx']",0,19,3,1,r
130,0,"['kkhow', 'much', 'cost']",0,3,1,0,kkhow
131,0,"[""'m"", 'home']",0,2,1,0,'m
132,0,"['dear', 'call', 'tmorrowpl', 'accomod']",0,4,1,1,dear
133,0,"['first', 'answer', 'question']",0,3,1,0,first
134,1,"['sunshin', 'quiz', 'wkli', 'q', 'win', 'top', 'soni', 'dvd', 'player', 'u', 'know', 'countri', 'algarv', 'txt', 'ansr', '82277', '£150', 'sptyron']",0,18,1,1,sunshin
135,1,"['want', '2', 'get', 'laid', 'tonight', 'want', 'real', 'dog', 'locat', 'sent', 'direct', '2', 'ur', 'mob', 'join', 'uk', ""'s"", 'largest', 'dog', 'network', 'bt', 'txting', 'gravel', '69888', 'nt', 'ec2a', '31pmsg', '@', '150p']",0,29,2,1,want
136,0,"['haf', 'msn', ""'s"", 'yiju', '@', 'hotmailcom']",0,6,1,0,haf
137,0,"['call', 'meet']",0,2,1,1,call
138,0,"['check', 'room', 'befor', 'activ']",0,4,1,0,check
139,1,"['ll', 'rcv', 'msgs', 'chat', 'svc', 'free', 'hardcor', 'servic', 'text', 'go', '69988', 'u', 'get', 'noth', 'u', 'must', 'age', 'verifi', 'yr', 'network', 'tri']",0,21,2,1,u
140,0,"['got', 'c', 'lazi', 'type', 'forgot', 'ü', 'lect', 'saw', 'pouch', 'like', 'v', 'nice']",0,12,1,0,got
141,0,"['k', 'text', 're', 'way']",0,4,1,0,k
142,0,"['sir', 'wait', 'mail']",0,3,1,0,sir
143,0,"['swt', 'thought', 'nver', 'get', 'tire', 'littl', 'thing', '4', 'lovabl', 'person', 'cozsomtim', 'littl', 'thing', 'occupi', 'biggest', 'part', 'heart', 'gud', 'ni8']",0,19,2,0,littl
144,0,"['know', 'pls', 'open', 'back']",0,4,1,0,know
145,0,"['yes', 'see', 'ya', 'dot']",0,4,1,0,yes
146,0,"['what', 'staff', 'name', 'take', 'class', 'us']",0,6,1,0,what
147,1,"['freemsg', ""n't"", 'repli', 'text', ""'m"", 'randi', 'sexi', 'femal', 'live', 'local', 'luv', 'hear', 'u', 'netcollex', 'ltd', '08700621170150p', 'per', 'msg', 'repli', 'stop', 'end']",0,21,2,1,repli
148,0,"['ummmawil', 'call', 'check', 'inour', 'life', 'begin', 'qatar', 'pls', 'pray', 'hard']",0,10,1,1,ummmawil
149,0,"['ki', 'delet', 'contact']",0,3,1,0,ki
150,0,"['sindu', 'got', 'job', 'birla', 'soft']",0,5,1,0,sindu
151,0,"['wine', 'flow', ""'m"", 'never']",0,4,1,0,wine
152,0,"['yup', 'thk', 'cine', 'better', 'cos', 'need', '2', 'go', '2', 'plaza', 'mah']",0,11,2,1,2
153,0,"['ok', 'ur', 'typic', 'repli']",0,4,1,0,ok
154,0,"['per', 'request', 'mell', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', ""'"", 'set', 'callertun', 'caller', 'press', '*9', 'copi', 'friend', 'callertun']",0,17,2,0,mell
155,0,"['everywher', 'dirt', 'floor', 'window', 'even', 'shirt', 'sometim', 'open', 'mouth', 'come', 'flow', 'dream', 'world', 'without', 'half', 'chore', 'time', 'joy', 'lot', 'tv', 'show', 'ill', 'see', 'guess', 'like', 'thing', 'must', 'exist', 'like', 'rain', 'hail', 'mist', 'time', 'done', 'becom', 'one']",0,36,2,0,time
156,0,"['aaooooright', 'work']",0,2,1,0,aaooooright
157,0,"[""'m"", 'leav', 'hous']",0,3,1,0,'m
158,0,"['hello', 'love', 'get', 'interview', 'today', 'happi', 'good', 'boy', 'think', 'mear', 'miss']",0,11,1,0,hello
159,1,"['custom', 'servic', 'annonc', 'new', 'year', 'deliveri', 'wait', 'pleas', 'call', '07046744435', 'arrang', 'deliveri']",0,12,2,1,deliveri
160,1,"['winner', 'u', 'special', 'select', '2', 'receiv', '£1000', 'cash', '4*', 'holiday', 'flight', 'inc', 'speak', 'live', 'oper', '2', 'claim', '0871277810810']",0,18,2,1,2
161,0,"['keep', 'safe', 'need', 'miss', 'alreadi', 'envi', 'everyon', 'see', ""'s"", 'real', 'life']",0,11,1,0,keep
162,0,"['new', 'car', 'hous', 'parentsi', 'new', 'job', 'hand']",0,7,2,0,new
163,0,"[""'m"", 'love', ""'m"", 'excit', 'day', 'spend', 'make', 'happi']",0,8,2,0,'m
164,1,"['pls', 'stop', 'bootydeli', '32/f', 'invit', 'friend', 'repli', 'yes434', 'no434', 'see', 'wwwsmsac/u/bootydeli', 'stop', 'send', 'stop', 'frnd', '62468']",1,16,3,0,stop
165,1,"['bangbab', 'ur', 'order', 'way', 'u', 'receiv', 'servic', 'msg', '2', 'download', 'ur', 'content', 'u', 'goto', 'wap', 'bangb', 'tv', 'ur', 'mobil', 'internet/servic', 'menu']",0,21,3,1,ur
166,0,"['place', 'ur', 'point', 'e', 'cultur', 'modul', 'alreadi']",0,7,1,0,place
167,1,"['urgent', 'tri', 'contact', 'last', 'weekend', 'draw', 'show', '£900', 'prize', 'guarante', 'call', '09061701939', 'claim', 'code', 's89', 'valid', '12hrs']",0,17,1,1,urgent
168,0,"['hi', 'frnd', 'best', 'way', 'avoid', 'missunderstd', 'wit', 'belov', 'one', ""'s""]",0,10,1,0,hi
169,0,"['great', 'escap', 'fanci', 'bridg', 'need', 'lager', 'see', 'tomo']",0,8,1,0,great
170,0,"['yes', 'complet', 'formclark', 'also', 'utter', 'wast']",0,6,1,0,yes
171,0,"['sir', 'need', 'axi', 'bank', 'account', 'bank', 'address']",0,7,2,0,bank
172,0,"['hmmm', 'thk', 'sure', 'got', 'time', 'hop', 'ard', 'ya', 'go', '4', 'free', 'abt', 'muz', 'call', 'u', 'discuss', 'liao']",0,17,1,1,hmmm
173,0,"['time', 'come', 'later']",0,3,1,0,time
174,0,"['bloodi', 'hell', 'cant', 'believ', 'forgot', 'surnam', 'mr', 'ill', 'give', 'u', 'clue', 'spanish', 'begin']",0,13,1,0,bloodi
175,0,"['well', ""'m"", 'gon', 'na', 'finish', 'bath', 'goodfin', 'night']",0,8,1,0,well
176,0,"['let', 'know', 've', 'got', 'money', 'carlo', 'make', 'call']",0,8,1,1,let
177,0,"['u', 'still', 'go', 'mall']",0,4,1,0,u
178,0,"['turn', 'friend', 'stay', 'whole', 'show', 'wo', ""n't"", 'back', 'til', '~', 'lt', '#', 'gt', 'feel', 'free', 'go', 'ahead', 'smoke', '$', 'lt', '#', 'gt', 'worth']",0,23,2,1,lt
179,0,"['text', 'doesnt', 'repli', 'let', 'know', 'log']",0,6,1,0,text
180,0,"['hi', 'spoke', 'maneesha', 'v', ""'d"", 'like', 'know', 'satisfi', 'experi', 'repli', 'toll', 'free', 'yes']",0,13,1,1,hi
181,0,"['lift', 'hope', 'offer', 'money', 'need', 'especi', 'end', 'month', 'approach', 'hurt', 'studi', 'anyway', 'gr8', 'weekend']",0,14,1,0,lift
182,0,"['lol', 'u', 'trust']",0,3,1,0,lol
183,0,"['ok', 'gentleman', 'treat', 'digniti', 'respect']",0,5,1,0,ok
184,0,"['guy', 'close']",0,2,1,0,guy
185,0,"['go', 'noth', 'greatby']",0,3,1,0,go
186,0,"['hello', 'handsom', 'find', 'job', 'lazi', 'work', 'toward', 'get', 'back', 'net', 'mummi', ""'s"", 'boytoy', 'miss']",0,14,1,0,hello
187,0,"['haha', 'awesom', 'minut']",0,3,1,0,haha
188,1,"['pleas', 'call', 'custom', 'servic', 'repres', 'freephon', '0808', '145', '4742', '9am11pm', 'guarante', '£1000', 'cash', '£5000', 'prize']",0,15,1,1,pleas
189,0,"['got', 'xmas', 'radio', 'time', 'get']",0,5,1,0,got
190,0,"['jus', 'reach', 'home', 'go', 'bath', 'first', 'sis', 'use', 'net', 'tell', 'u', 'finish', 'k']",0,13,1,0,jus
191,1,"['uniqu', 'enough', 'find', '30th', 'august', 'wwwareyouuniquecouk']",1,6,1,0,uniqu
192,0,"[""'m"", 'sorri', 've', 'join', 'leagu', 'peopl', 'dont', 'keep', 'touch', 'mean', 'great', 'deal', 'friend', 'time', 'even', 'great', 'person', 'cost', 'great', 'week']",0,20,3,0,great
193,0,"['hi', 'final', 'complet', 'cours']",0,4,1,0,hi
194,0,"['stop', 'howev', 'suggest', 'stay', 'someon', 'abl', 'give', 'or', 'everi', 'stool']",0,10,1,0,stop
195,0,"['hope', 've', 'settl', 'new', 'school', 'year', 'wishin', 'gr8', 'day']",0,9,1,0,hope
196,0,"['gud', 'mrng', 'dear', 'hav', 'nice', 'day']",0,6,1,0,gud
197,0,"['u', 'got', 'person', 'stori']",0,4,1,0,u
198,0,"['hamster', 'dead', 'hey', 'tmr', 'meet', '1pm', 'orchard', 'mrt']",0,8,1,0,hamster
199,0,"['hi', 'kate', 'even', 'hope', 'see', 'tomorrow', 'bit', 'bloodi', 'babyjontet', 'txt', 'back', 'u', 'xxx']",0,13,1,1,hi
200,0,"['found', 'enc', 'lt', '#', 'gt']",0,5,1,0,found
201,0,"['sent', 'lt', '#', 'gt', 'buck']",0,5,1,0,sent
202,0,"['hello', 'darlin', 'ive', 'finish', 'colleg', 'txt', 'u', 'finish', 'u', 'love', 'kate', 'xxx']",0,12,2,1,finish
203,0,"['account', 'refil', 'success', 'inr', 'ltdecimalgt', 'keralacircl', 'prepaid', 'account', 'balanc', 'rs', 'ltdecimalgt', 'transact', 'id', 'kr', 'lt', '#', 'gt']",0,17,2,0,account
204,0,"['goodmorn', 'sleep', 'ga']",0,3,1,0,goodmorn
205,0,"['u', 'call', 'alter', '11', 'ok']",0,5,1,1,u
206,0,"['ü', 'say', 'like', 'dat', 'dun', 'buy', 'ericsson', 'oso', 'oredi', 'lar']",0,10,1,0,ü
207,0,"['enter', 'cabin', 'pa', 'said', '``', 'happi', ""b'day"", 'boss', '``', 'felt', 'special', 'askd', '4', 'lunch', 'lunch', 'invit', 'apart', 'went']",0,18,2,0,``
208,0,"['aight', 'yo', 'dat', 'straight', 'dogg']",0,5,1,0,aight
209,0,"['pleas', 'give', 'us', 'connect', 'today', 'ltdecimalgt', 'refund', 'bill']",0,8,1,0,pleas
